experiment,algorithm,step_label,probe_pool_size,probe_rate_multiplier,p99_ms,p999_ms,rif_p50,rif_p75,rif_p99,total_requests,errors,timestamp
A,prequal,4.00,8,4.0000,1055.070,1553.287,2.560,7.174,52.831,24107,0,2026-06-12T20:38:50Z
A,prequal,2.83,8,2.8284,1220.396,1753.636,2.402,4.796,+Inf,27164,0,2026-06-12T20:40:43Z
A,prequal,2.00,8,2.0000,1218.768,1841.718,2.597,5.204,+Inf,28009,0,2026-06-12T20:42:35Z
A,prequal,1.41,8,1.4142,870.425,1277.446,2.758,5.978,+Inf,27717,0,2026-06-12T20:44:27Z
A,prequal,1.00,8,1.0000,1126.469,2190.623,2.916,6.054,+Inf,28460,223,2026-06-12T20:46:17Z
A,prequal,0.71,8,0.7071,1034.946,2233.197,3.143,6.016,55.449,28558,326,2026-06-12T20:48:07Z
A,prequal,0.50,8,0.5000,789.390,1286.651,3.272,6.250,40.405,26997,0,2026-06-12T20:50:00Z
A,roundrobin,4.00,8,4.0000,856.377,1488.205,1.272,2.074,7.381,25782,0,2026-06-12T20:51:50Z
A,roundrobin,2.83,8,2.8284,819.833,1168.806,1.226,1.977,7.138,24863,0,2026-06-12T20:53:40Z
A,roundrobin,2.00,8,2.0000,834.364,1106.153,1.389,2.370,7.415,27328,0,2026-06-12T20:55:34Z
A,roundrobin,1.41,8,1.4142,740.915,1065.990,1.405,2.390,7.462,28631,400,2026-06-12T20:57:27Z
A,roundrobin,1.00,8,1.0000,763.370,1066.922,1.602,2.884,7.934,28908,675,2026-06-12T20:59:22Z
A,roundrobin,0.71,8,0.7071,754.904,1035.070,1.679,2.961,7.956,30322,2091,2026-06-12T21:01:18Z
A,roundrobin,0.50,8,0.5000,693.703,996.720,1.647,2.893,7.982,30047,1816,2026-06-12T21:03:08Z
